Tỉnh thành,Tổng điểm
An Giang,150.0
Bà Rịa – Vũng Tàu,165.0
Bình Dương,155.0
Bình Thuận,220.0
Bình Định,163.0
Bắc Giang,123.33333333333333
Bắc Kạn,167.5
Bắc Ninh,221.0
Bến Tre,190.0
Cà Mau,210.0
Cần Thơ,196.25
Gia Lai,190.0
Hoà Bình,235.0
Hà Nội,225.13888888888889
Hà Tĩnh,151.25
Hưng Yên,179.28571428571428
Hải Dương,167.5
Hải Phòng,195.0
Khánh Hoà,150.0
Kon Tum,192.5
Long An,185.0
Lào Cai,230.0
Lâm Đồng,235.83333333333334
Lạng Sơn,160.0
Nam Định,180.0
Nghệ An,223.0
Ninh Bình,205.0
Ninh Thuận,220.0
Phú Thọ,205.83333333333334
Phú Yên,130.0
Quảng Bình,178.33333333333334
Quảng Nam,223.0
Quảng Ngãi,234.16666666666666
Quảng Ninh,238.125
Quảng Trị,205.0
Sóc Trăng,140.0
TP. Hồ Chí Minh,162.72727272727272
Thanh Hoá,196.25
Thái Bình,201.66666666666666
Thái Nguyên,166.25
Thừa Thiên Huế,245.0
Tiền Giang,200.0
Vĩnh Long,120.0
Vĩnh Phúc,145.0
Yên Bái,150.0
Đà Nẵng,220.0
Đắk Lắk,70.0
Đắk Nông,267.5
Đồng Nai,112.5
Đồng Tháp,85.0
