Tỉnh thành,0
An Giang,1
Bà Rịa – Vũng Tàu,2
Bình Dương,1
Bình Thuận,1
Bình Định,3
Bắc Giang,3
Bắc Kạn,2
Bắc Ninh,4
Bến Tre,1
Cà Mau,1
Cần Thơ,2
Gia Lai,2
Hoà Bình,1
Hà Nội,21
Hà Tĩnh,4
Hưng Yên,5
Hải Dương,3
Hải Phòng,3
Khánh Hoà,1
Kon Tum,2
Long An,2
Lào Cai,1
Lâm Đồng,4
Lạng Sơn,2
Nam Định,2
Nghệ An,9
Ninh Bình,5
Ninh Thuận,1
Phú Thọ,5
Phú Yên,1
Quảng Bình,2
Quảng Nam,3
Quảng Ngãi,3
Quảng Ninh,4
Quảng Trị,3
Sóc Trăng,1
TP. Hồ Chí Minh,8
Thanh Hoá,3
Thái Bình,2
Thái Nguyên,6
Thừa Thiên Huế,1
Tiền Giang,2
Vĩnh Long,1
Vĩnh Phúc,2
Yên Bái,1
Đà Nẵng,1
Đắk Lắk,2
Đắk Nông,1
Đồng Nai,2
Đồng Tháp,1
